,URL 주소,댓글작성자명,댓글작성일자,댓글 내용
0,https://youtube.com/watch?v=GhEaVPFXmWM&pp=ygUS67Cw7YuA6re465287Jq065Oc,@user-qw5ii4lw3m,1일 전,오늘도 지리는 편집자님의 번역 보너스 줘야될듯
1,https://youtube.com/watch?v=GhEaVPFXmWM&pp=ygUS67Cw7YuA6re465287Jq065Oc,@user-us1rx5yb3m,1일 전,"전술가방에 차 없을때 자전거 , 비상호출 이런거 넣고 다녀도 좋더라고요 박격포 2개 들고와서 차량 들이박는것도 막을수도있고
예비뚝 , 전파방도 좋네요"
2,https://youtube.com/watch?v=GhEaVPFXmWM&pp=ygUS67Cw7YuA6re465287Jq065Oc,@jn5681,1일 전(수정됨),"매일 썸네일 호기심을 불러일으키며 영상을 눌러 떡볶이 먹방 중인 나..
솔직히 이렇게 매일 재밌게 해주면서 1주일에 5영상 올려주는게 어디야 ~~
3:38 애들 싸가Z 가 없네??ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ

이제 영상 시청하러 레주 키니~2:08 지금이니~~"
3,https://youtube.com/watch?v=mBU_kbTf9_U&pp=ygUS67Cw7YuA6re465287Jq065Oc,@GODPOS,1일 전,첫판부터 쉔있는거 ㅈㄴ 웃기네ㅋㅋㅋ
4,https://youtube.com/watch?v=mBU_kbTf9_U&pp=ygUS67Cw7YuA6re465287Jq065Oc,@inHyuk_99,1일 전,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ피사장 러브라인...️
5,https://youtube.com/watch?v=mBU_kbTf9_U&pp=ygUS67Cw7YuA6re465287Jq065Oc,@j_h1631,1일 전(수정됨),"썸네일 그냥 저 멤버는 예능 멤번데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 
개꿀잼이잖아 개웃기네 깨박씨"
6,https://youtube.com/watch?v=zA7N7yEz9f8&pp=ygUS67Cw7YuA6re465287Jq065Oc,@user-yq3gk9ck4m,17시간 전,근데 진짜 다나와오구나서 얼굴이 너무 좋아졋다 녹스
7,https://youtube.com/watch?v=zA7N7yEz9f8&pp=ygUS67Cw7YuA6re465287Jq065Oc,@user-vp9bx4ou3w,15시간 전,로키 진짜 개웃기네 ㅋㅋㅋㅋㅋㅋ
8,https://youtube.com/watch?v=zA7N7yEz9f8&pp=ygUS67Cw7YuA6re465287Jq065Oc,@user-bj1xq9jc5u,16시간 전(수정됨),로키 ㅋㅋㅋㅋㅋㅋㅋㅋ박명수 성대모사 개웃기네 ㅋㅋㅋㅋ
9,https://youtube.com/watch?v=gE4BWx1A9X8&pp=ygUS67Cw7YuA6re465287Jq065Oc,@user-dy7bg4bf8w,23시간 전,고정하면 20kg로 빠짐
10,https://youtube.com/watch?v=gE4BWx1A9X8&pp=ygUS67Cw7YuA6re465287Jq065Oc,@steno2262,1일 전,판처로 죽이고 웃는 거 진짜 시원하다ㅋㅋ
11,https://youtube.com/watch?v=gE4BWx1A9X8&pp=ygUS67Cw7YuA6re465287Jq065Oc,@user-ji8bz5zp9e,17시간 전,점프해서 쏴도 에임이 흔들리지않는 편안함 무엇 ㄷㄷ
12,https://youtube.com/watch?v=xqnWcadCVR8&pp=ygUS67Cw7YuA6re465287Jq065Oc,@user-on8zy4mx9v,17시간 전,EJ랑 에스더랑 피오랑 호흡 진짜 지리넹
13,https://youtube.com/watch?v=xqnWcadCVR8&pp=ygUS67Cw7YuA6re465287Jq065Oc,@Ian0402,18시간 전,역시 1인칭이 근본이지
14,https://youtube.com/watch?v=xqnWcadCVR8&pp=ygUS67Cw7YuA6re465287Jq065Oc,@user-xc5cm6hg4k,17시간 전(수정됨),"4:26
1인칭 살벌하네 ㅋㅋ"
15,https://youtube.com/watch?v=Q-ZFstjiSus&pp=ygUS67Cw7YuA6re465287Jq065Oc,,1일 전(수정됨),내가 잘쓰는건가? 껄껄.....
16,https://youtube.com/watch?v=Q-ZFstjiSus&pp=ygUS67Cw7YuA6re465287Jq065Oc,@user-nc3qk9ew2j,1일 전,와 진짜 너무 잘하신다.. 이렇게 게임하면 얼마나 재밌을까ㅠㅠ
17,https://youtube.com/watch?v=Q-ZFstjiSus&pp=ygUS67Cw7YuA6re465287Jq065Oc,@rose0920jyh,1일 전,레전드 생방송을 놓쳤다니 ㅠㅠ 
18,https://youtube.com/watch?v=hyFGD0WblIM&pp=ygUS67Cw7YuA6re465287Jq065Oc,,7일 전(수정됨),전파 방해 배낭인데 자꾸 전파 배낭 가방이라고 해서 죄송합니다
19,https://youtube.com/watch?v=hyFGD0WblIM&pp=ygUS67Cw7YuA6re465287Jq065Oc,@MinwooChoi-op6ug,7일 전(수정됨),주키니영상은 항상 심심할 때 나와서 좋다
20,https://youtube.com/watch?v=hyFGD0WblIM&pp=ygUS67Cw7YuA6re465287Jq065Oc,@Twobyul,7일 전,"11:05 분명 따라가는거 앞에서 봤는데

제 3자 입장에서 보니까 개 웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
21,https://youtube.com/watch?v=ZyVxEGpEo30&pp=ygUS67Cw7YuA6re465287Jq065Oc,,1개월 전,이 영상은 제가 보장합니다 영상 꼭 끝까지 보세요 
22,https://youtube.com/watch?v=ZyVxEGpEo30&pp=ygUS67Cw7YuA6re465287Jq065Oc,@sjajh81,1개월 전(수정됨),"4명 중 2명은 대화도 안하고 딱히 팀웍이 좋은 것도 아닌데....
굳이 한판 더한게 레전드 ㅋㅋㅋㅋㅋㅋ"
23,https://youtube.com/watch?v=ZyVxEGpEo30&pp=ygUS67Cw7YuA6re465287Jq065Oc,@2O17.1O.1O,1개월 전,"시작부터 웃음 유발하시는 역대급 여성분. 
1인 3역을 시작으로 노래까지 선창해 가며 오디오 채워주는 모습까지 정말 유쾌하고 즐겁게 시청했어요.
대충 개판인 상황에서조차 역대급의 재미를 보장하는 영상 감사드립니다."
24,https://youtube.com/watch?v=no71gDfcBWI&pp=ygUS67Cw7YuA6re465287Jq065Oc,,8일 전,여러분들의 생각은..?
25,https://youtube.com/watch?v=no71gDfcBWI&pp=ygUS67Cw7YuA6re465287Jq065Oc,@namecastle8203,8일 전,"위치를 안 들키게 하는 플레이, 상대방의 위치를 추론하고 예측하는 플레이가 배그의 중심이자 묘미인데 그걸 없애버린 패치입니다. 연막 페이크, 능선 끼고 돌아가기, 탑 3~5에서 최대한 총소리 안 내면서 위치 정보 노출 안 하기, 존버, 상대방 몰래 암살하러 접근하기 등 다양한 플레이들을 다 무용지물로 만들어버린 패치죠.

배그는 전술 장비 도입 이후로 점점 패치가 산으로 가는 듯합니다."
26,https://youtube.com/watch?v=no71gDfcBWI&pp=ygUS67Cw7YuA6re465287Jq065Oc,@yollowa,8일 전,"개인적으론 전술가방, 드론, 응처장 써봤는데 유용하긴 하더라구요.ㅎ 팀으로 싸울 땐 올인원수리키트도 유용한 것 같아요.ㅎㅎ"
27,https://youtube.com/watch?v=UWIzDFVfyVU&pp=ygUS67Cw7YuA6re465287Jq065Oc,@eugenelee8002,6일 전,안내님 덕분에 어제 첨 DBS로 12킬했어요! 배그 앞으로도 열심히 해주세요 <3
28,https://youtube.com/watch?v=UWIzDFVfyVU&pp=ygUS67Cw7YuA6re465287Jq065Oc,@MyGomdi,8일 전,안내님 방송은 역시 잼있어
29,https://youtube.com/watch?v=UWIzDFVfyVU&pp=ygUS67Cw7YuA6re465287Jq065Oc,@BugCatchingGibre,8일 전,왤케 안내님 데스턴 하시는게 재밌지 ㅋㅋ
